Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Date,,,,,
2020-12-10,12402.0,12449.0,12218.0,12344.0,1056100
2020-12-11,12368.0,12414.5,12234.25,12393.75,396055
2020-12-14,12456.5,12549.25,12386.5,12392.75,238636
2020-12-15,12591.75,12605.25,12417.0,12463.0,190391
2020-12-16,12665.25,12700.0,12567.0,12598.5,112793
2020-12-17,12751.0,12766.5,12667.5,12676.75,55549
2020-12-18,12800.0595703125,12820.0,12710.0,12749.75,750643
2020-12-21,12683.5,12783.5,12461.0,12756.0,1061715
2020-12-22,12710.0,12760.0,12593.75,12697.5,849302
2020-12-23,12651.25,12739.0,12621.5,12706.0,596954
2020-12-24,12704.5,12724.0,12631.5,12660.0,288135
2020-12-28,12832.75,12855.75,12651.75,12677.0,525846
2020-12-29,12841.0,12918.25,12807.75,12843.0,674644
2020-12-30,12841.5,12909.75,12820.5,12860.0,488570
2020-12-31,12885.5,12895.5,12796.25,12840.0,376007
2021-01-04,12685.5,12960.0,12522.0,12888.25,916861
2021-01-05,12793.5,12808.5,12611.75,12684.5,790422
2021-01-06,12616.75,12844.5,12491.25,12801.25,1326413
2021-01-07,12928.0,12958.75,12646.25,12659.25,786257
2021-01-08,13097.25,13125.25,12919.25,12927.0,954785
2021-01-11,12897.0,13105.5,12872.0,13098.75,826314
2021-01-12,12890.25,12959.0,12767.0,12915.0,688554
2021-01-13,12972.25,13003.0,12820.5,12885.75,587442
2021-01-14,12901.0,13028.75,12880.75,12975.25,625300
2021-01-15,12802.25,12930.75,12743.25,12908.0,775481
2021-01-19,12985.5,13031.75,12727.0,12774.0,858308
2021-01-20,13294.25,13327.25,13018.0,13029.75,635635
2021-01-21,13395.5,13423.75,13283.0,13290.25,672678
2021-01-22,13361.5,13400.5,13300.0,13394.75,636521
2021-01-25,13475.5,13555.0,13189.0,13366.0,1112348
2021-01-26,13485.5,13599.75,13380.75,13460.25,863645
2021-01-27,13105.5,13586.75,12882.5,13553.0,1285859
2021-01-28,13186.0,13394.0,12906.25,13053.75,1211130
2021-01-29,12911.25,13187.25,12830.0,13159.25,1713363
2021-02-01,13236.5,13271.75,12726.75,12850.0,1046257
2021-02-02,13449.0,13509.0,13230.0,13232.75,793264
2021-02-03,13394.25,13584.25,13387.0,13503.75,836674
2021-02-04,13547.5,13572.0,13345.75,13427.5,637416
2021-02-05,13598.0,13638.5,13519.25,13563.0,605123
2021-02-08,13683.0,13692.5,13596.0,13620.75,624302
2021-02-09,13680.25,13735.25,13634.0,13685.0,588737
2021-02-10,13643.5,13769.25,13517.25,13698.75,971540
2021-02-11,13729.0,13744.0,13613.5,13667.25,812009
2021-02-12,13804.75,13822.5,13646.0,13710.25,569427
2021-02-16,13767.75,13900.75,13715.75,13829.0,876085
2021-02-17,13699.75,13785.5,13543.0,13757.75,862384
2021-02-18,13633.0,13724.75,13468.75,13699.0,936629
2021-02-19,13576.0,13729.0,13534.25,13638.5,905237
2021-02-22,13224.25,13629.0,13215.0,13584.5,1137912
2021-02-23,13192.0,13335.75,12757.5,13226.5,1586603
2021-02-24,13302.0,13333.0,12958.0,13171.5,1284595
2021-02-25,12831.75,13354.25,12764.0,13308.25,1893015
2021-02-26,12911.0,13089.75,12663.25,12800.5,1877394
2021-03-01,13279.75,13318.0,12946.75,12955.75,1025183
2021-03-02,13055.25,13328.0,13048.0,13311.75,1084739
2021-03-03,12681.75,13191.0,12662.5,13061.0,1456894
2021-03-04,12455.0,12797.0,12306.25,12682.75,2099066
2021-03-05,12663.75,12697.75,12207.5,12437.0,1789102
2021-03-08,12297.25,12761.25,12283.75,12714.0,1748168
2021-03-09,12788.75,12867.25,12325.5,12346.5,1204245
2021-03-10,12749.25,12993.0,12704.25,12811.5,1462237
2021-03-11,13048.25,13119.5,12724.25,12794.5,1135178
2021-03-12,12933.5,13095.0,12767.75,13051.75,645640
2021-03-15,13078.5,13099.0,12872.75,12939.0,310513
2021-03-16,13151.5,13296.75,13056.75,13082.25,246289
2021-03-17,13201.5,13283.0,12946.25,13168.0,215186
2021-03-18,12795.5,13279.75,12774.5,13198.5,141970
2021-03-19,12808.759765625,12917.5,12730.5,12813.5,1330097
2021-03-22,13071.75,13157.0,12789.5,12820.75,945854
2021-03-23,13006.25,13172.0,12978.75,13068.75,1208348
2021-03-24,12794.0,13145.0,12784.25,13050.0,1188827
2021-03-25,12770.5,12859.5,12609.75,12804.0,1512250
2021-03-26,12966.75,12988.5,12675.75,12799.25,1235458
2021-03-29,12944.5,13002.75,12807.0,12967.0,1361774
2021-03-30,12878.25,12984.0,12776.75,12974.75,1104139
2021-03-31,13089.75,13158.25,12858.5,12891.75,831363
2021-04-01,13316.0,13333.0,13090.0,13093.75,809150
2021-04-05,13585.5,13614.75,13304.25,13344.0,672584
2021-04-06,13570.0,13654.25,13524.5,13603.0,881355
2021-04-07,13604.75,13641.25,13513.0,13580.0,794033
2021-04-08,13747.75,13789.75,13614.75,13621.75,775241
2021-04-09,13829.5,13841.0,13648.5,13787.0,829301
2021-04-12,13808.75,13832.0,13731.75,13817.25,776272
2021-04-13,13975.75,13993.75,13772.5,13825.5,784551
2021-04-14,13798.75,14029.0,13772.75,13977.0,1048086
2021-04-15,14014.0,14034.25,13789.5,13827.5,790571
2021-04-16,14029.5,14059.0,13953.0,13999.75,782661
2021-04-19,13897.25,14052.5,13821.0,13989.25,1167074
2021-04-20,13794.25,13933.75,13719.0,13899.5,1186060
2021-04-21,13919.25,13926.75,13700.25,13742.25,883268
2021-04-22,13750.25,13944.0,13701.75,13895.25,1190044
2021-04-23,13927.0,13981.25,13738.0,13757.25,787363
2021-04-26,14011.5,14038.0,13865.75,13915.0,681564
2021-04-27,13953.0,14050.0,13912.75,14023.25,711031
2021-04-28,13892.25,13993.5,13878.0,13954.0,816524
2021-04-29,13953.5,14064.0,13818.25,13970.75,1073190
2021-04-30,13850.0,13957.0,13819.5,13948.0,944652
2021-05-03,13790.0,13947.5,13771.5,13879.25,777228
2021-05-04,13536.0,13792.5,13380.75,13786.25,1202754
2021-05-05,13491.0,13665.5,13462.5,13526.75,936762
2021-05-06,13597.75,13611.75,13389.0,13486.0,1211699
2021-05-07,13709.75,13818.0,13588.25,13605.75,1006542
2021-05-10,13356.75,13751.75,13302.25,13718.25,1080875
2021-05-11,13346.0,13375.75,13065.5,13316.0,1828176
2021-05-12,12998.5,13352.0,12959.75,13321.5,1716552
2021-05-13,13100.25,13225.0,12914.75,12968.5,1607005
2021-05-14,13387.0,13426.0,13071.0,13095.5,1041555
2021-05-17,13303.5,13452.5,13182.5,13380.5,1064637
2021-05-18,13212.0,13433.0,13178.0,13310.0,856489
2021-05-19,13233.5,13242.75,12954.25,13182.25,1410586
2021-05-20,13486.5,13524.0,13151.25,13221.0,926125
2021-05-21,13405.0,13569.75,13395.5,13493.25,882592
2021-05-24,13635.25,13686.25,13356.25,13390.0,576722
2021-05-25,13656.25,13738.5,13606.5,13654.5,712998
2021-05-26,13700.25,13728.25,13656.0,13671.0,608634
2021-05-27,13665.5,13720.75,13620.25,13703.75,716347
2021-05-28,13686.5,13763.25,13662.5,13694.5,575230
2021-06-01,13648.75,13773.0,13592.75,13698.75,788715
2021-06-02,13673.75,13712.5,13603.0,13653.0,576913
2021-06-03,13529.25,13707.0,13462.25,13678.5,896698
2021-06-04,13766.75,13784.0,13467.75,13530.0,645248
2021-06-07,13804.25,13825.25,13691.5,13772.25,593134
2021-06-08,13811.5,13916.75,13742.0,13823.5,746795
2021-06-09,13814.25,13904.0,13803.5,13813.0,598846
2021-06-10,13959.75,13976.5,13726.5,13815.75,702931
2021-06-11,13994.25,13998.5,13931.75,13974.5,258315
2021-06-14,14124.75,14133.5,13965.0,13996.5,157769
2021-06-15,14030.25,14163.0,14009.25,14121.25,127209
2021-06-16,13981.25,14104.0,13834.0,14047.75,109183
2021-06-17,14165.5,14213.0,13850.5,13948.5,87366
2021-06-18,14107.4296875,14213.25,14064.75,14171.25,841121
2021-06-21,14130.0,14144.0,13958.75,14022.25,788483
2021-06-22,14258.25,14279.25,14066.25,14137.0,621790
2021-06-23,14263.0,14316.75,14231.75,14273.5,587636
2021-06-24,14354.25,14422.0,14263.0,14274.25,605975
2021-06-25,14339.0,14394.25,14313.25,14364.75,594197
2021-06-28,14512.5,14519.5,14333.25,14347.75,471785
2021-06-29,14563.0,14585.0,14468.75,14506.75,542004
2021-06-30,14549.0,14599.0,14518.0,14584.0,550880
2021-07-01,14548.5,14606.5,14470.75,14558.0,598057
2021-07-02,14713.75,14728.75,14513.5,14542.25,543434
2021-07-06,14775.5,14789.75,14625.25,14702.25,838525
2021-07-07,14802.25,14883.75,14726.25,14758.5,844793
2021-07-08,14712.25,14821.75,14540.0,14811.75,1001374
2021-07-09,14810.5,14832.0,14640.5,14712.75,694222
2021-07-12,14869.25,14888.75,14785.25,14823.75,563544
2021-07-13,14865.0,14994.5,14794.25,14880.0,824554
2021-07-14,14891.75,14996.0,14841.0,14868.0,817428
2021-07-15,14787.5,14962.5,14708.25,14896.25,1017598
2021-07-16,14670.5,14869.5,14657.25,14778.0,893209
2021-07-19,14540.75,14683.25,14444.25,14675.75,1324573
2021-07-20,14722.75,14782.25,14516.75,14593.5,869753
2021-07-21,14827.75,14841.75,14666.75,14729.5,778237
2021-07-22,14928.5,14982.75,14823.25,14838.0,859820
2021-07-23,15098.0,15117.5,14934.25,14978.25,806795
2021-07-26,15117.75,15134.25,15038.75,15098.0,685147
2021-07-27,14947.75,15131.5,14774.5,15125.0,1000863
2021-07-28,15011.5,15074.75,14866.5,14876.25,1012173
2021-07-29,15037.75,15084.0,14904.25,14984.25,718643
2021-07-30,14955.75,14979.75,14811.5,14910.0,820333
2021-08-02,14952.75,15056.0,14932.5,14972.25,743820
2021-08-03,15046.25,15050.0,14848.75,14963.75,886336
2021-08-04,15073.5,15108.0,14996.75,15039.0,739921
2021-08-05,15167.75,15172.25,15069.5,15081.0,554624
2021-08-06,15095.5,15170.0,15047.5,15168.0,697234
2021-08-09,15125.25,15146.0,15003.5,15091.25,632672
2021-08-10,15044.5,15157.25,14994.75,15127.75,754586
2021-08-11,15019.5,15119.0,14963.0,15045.25,828334
2021-08-12,15078.5,15090.5,14941.0,15007.75,640693
2021-08-13,15125.75,15141.5,15055.25,15077.0,463515
2021-08-16,15134.0,15139.0,14917.0,15120.0,766071
2021-08-17,14997.5,15134.75,14897.0,15133.75,958229
2021-08-18,14849.25,15037.0,14806.5,14971.0,894716
2021-08-19,14928.0,14999.0,14711.0,14840.75,1144987
2021-08-20,15086.75,15100.0,14851.75,14943.0,720762
2021-08-23,15304.5,15338.0,15087.5,15092.25,661257
2021-08-24,15355.5,15384.0,15309.25,15327.5,540655
2021-08-25,15364.25,15397.0,15333.0,15361.25,579467
2021-08-26,15274.75,15368.5,15255.5,15367.0,781142
2021-08-27,15426.5,15443.75,15265.5,15286.5,674243
2021-08-30,15597.5,15617.75,15420.0,15431.75,559226
2021-08-31,15582.5,15677.25,15514.0,15603.75,733753
2021-09-01,15609.25,15698.0,15577.75,15601.25,633192
2021-09-02,15601.0,15682.25,15551.25,15609.0,682127
2021-09-03,15651.5,15677.5,15552.0,15599.25,653134
2021-09-07,15674.75,15708.75,15607.0,15653.75,772239
2021-09-08,15620.0,15691.0,15523.5,15671.0,862172
2021-09-09,15558.75,15676.5,15545.75,15610.0,803545
2021-09-10,15441.5,15667.5,15433.5,15561.25,440573
2021-09-13,15436.75,15565.0,15350.5,15449.75,322877
2021-09-14,15387.0,15530.75,15352.25,15452.75,226677
2021-09-15,15504.0,15522.0,15314.5,15395.5,158739
2021-09-16,15517.75,15542.0,15368.75,15510.5,124993
2021-09-17,15486.669921875,15541.5,15474.0,15505.5,860262
2021-09-20,15009.5,15338.0,14807.5,15285.0,1204698
2021-09-21,15024.0,15163.5,14963.75,14991.25,1001962
2021-09-22,15163.5,15227.0,14929.25,14992.25,884473
2021-09-23,15303.5,15346.75,15174.5,15177.75,678473
2021-09-24,15318.75,15334.0,15176.75,15298.75,660547
2021-09-27,15194.75,15399.5,15084.0,15318.75,793477
2021-09-28,14764.75,15192.25,14740.75,15172.5,1284649
2021-09-29,14739.75,14926.25,14711.0,14770.0,1269891
2021-09-30,14682.5,14884.0,14670.0,14762.0,1245570
2021-10-01,14761.75,14818.0,14537.0,14700.5,1375183
2021-10-04,14462.25,14835.75,14367.75,14781.0,1603467
2021-10-05,14655.25,14754.5,14410.0,14488.5,1003155
